When you think of hobby collections, you probably think about things like baseball cards, coins or stamps. | 취미 수집품에 대해서 생각하면, 아마도 야구 카드, 동전이나 우표 같은 것을 생각할 것이다.
But some people have really strange collections. | 그러나 어떤 사람들은 정말 이상한 수집품을 가지고 있다.
For example, a German man has collected more than 38,000 chocolate wrappers. | 예를 들어, 한 독일 남자는 38,000개 이상의 초콜릿 포장지를 수집했다.
And a woman in Las Vegas has collected 30000 refrigerator magnets. | 라스베이거스에 사는 한 여인은 30,000개의 냉장고 자석을 모았다.
One dentist in the U.S began collecting toothpaste from around world in 2002. | 미국의 한 치과의사는 2002년에 전 세계의 치약들을 모으기 시작했다.
He has over 1,400 tubes of toothpaste. | 그는 1,400개 이상의 치약 튜브를 가지고 있다.
Then there’s a guy in the Netherlands who has collected over 6,000 airline sickness bags since the 1970s. | 그리고 네덜란드에는 1970년대부터 6,000개 이상의 비행기 멀미 봉투를 모은 남자가 있다.
They are from 1,142 different airlines and more than 160 countries. | 그것들은 160개국 이상의 1,142개 다른 항공사로부터 모은 것이다.
